id,qid1,qid2,question1,question2,is_duplicate
73,147,148,How helpful is QuickBooks' auto data recovery support phone number to recover your corrupted data files?,What is the quickbooks customer support phone number USA?,1
74,149,150,Who is the richest gambler of all time and how can I reach his level?,Who is the richest gambler of all time and how can I reach his level as a gambler?,1
79,159,160,What is purpose of life?,What's the purpose of life? What is life actually about?,1
84,169,170,What are some of the high salary income jobs in the field of biotechnology?,What are some high paying jobs for a fresher with an M.Tech in biotechnology?,1
85,171,172,How can I increase my height after 21 also?,Can height increase after 25?,1
86,173,174,"What were the major effects of the cambodia earthquake, and how do these effects compare to the Kamchatca earthquakes in 1952?","What were the major effects of the cambodia earthquake, and how do these effects compare to the Valparaiso earthquake in 1822?",1
88,177,178,Which is the best gaming laptop under 60k INR?,Which is the best gaming laptop under Rs 60000?,1
92,185,186,What are some of the best romantic movies in English?,What is the best romantic movie you have ever seen?,1
93,187,188,What causes a nightmare?,What causes nightmares that seem real?,1
95,191,192,How does 3D printing work?,How do 3D printing work?,1
100,201,202,Will there really be any war between India and Pakistan over the Uri attack? What will be its effects?,Will there be a nuclear war between India and Pakistan?,1
104,209,210,Can I recover my email if I forgot the password?,What should I do if I forgot my email password?,1
107,215,216,What's the difference between love and pity?,What is the difference between love and pity?,1
113,227,228,What do you think China food?,How do you think of Chinese food?,1
120,241,242,Why my question was marked as needing imrovement?,How can I ask a question without getting marked as ‘need to improve’?,1
122,245,246,What mineral holds the highest electrical charge?,What mineral can hold the greatest electrical charge?,1
125,251,252,"Why does China block sanctions at the UN against the Jaish-e-Mohammad (JeM) chief, Masood Azhar?",Why does China support Masood Azhar?,1
127,255,256,Can excessive amounts of Vitamin C cause me to have a miscarriage?,How can Vitamin C cause a miscarriage?,1
135,271,272,Who are the Rohingya Muslims?,Who are the Rohingya people?,1
136,273,274,Does it matter whether humans are selfish or evil?,Does it matter whether humanity is evil or not?,1
143,287,288,Does a black hole have mass?,Does a black hole have a finite mass?,1
144,289,290,"Is Morgan Freeman correct when he says the only way to stop racism, is to stop talking about it?",What are your views about this Morgan Freeman quote about Racism?,1
152,305,306,Why does Red keep the keys in OITNB?,Why does Red keep the keys in season 4 of Orange is the New Black?,1
156,313,314,"If I do not monetize YouTube videos & upload copyright content, then are there chances that Google may block my account?",How do you upload movies on YouTube and monetize them? Is there any issue of copyright,1
158,317,318,What does the Quora website look like to members of Quora moderation?,How does Quora look to a moderator?,1
159,319,320,Why nobody answer my questions in Quora?,Why is no one answering my questions in Quora?,1
160,321,322,What is the funniest joke you know?,What is the funniest joke of all time?,1
163,327,328,How do I use Twitter as a business source?,How can I use Twitter for business?,1
165,331,332,Which is the best earphone with deep bass under 1000?,Which is the Best earphones under Rs 1000?,1
168,337,338,Which are the best engineering fields?,What is the best field of engineering?,1
173,347,348,Does anyone see the relation between Greek gods and Hindu gods?,"What parallelism can we draw between gods of Hindu mythology, Greek mythology, Egyptian mythology, etc.?",1
175,351,352,Which is the best fixed income fund?,What is the best fixed income fund?,1
176,353,354,What is it like to live in Cologne?,"What is it like to live in Köln, Germany? ",1
178,357,358,Why does some people prefer small families.?,Why do some people prefer to live with small family?,1
179,359,360,Do animals kiss?,Do animals (besides humans) kiss?,1
180,361,362,How do you get deleted Instagram chats?,How can I view deleted Instagram dms?,1
182,365,366,What if I hired two private eyes and ordered them to follow each other?,Would I be able to hire two private investigators and then get them to follow each other?,1
185,371,372,"What was the significance of the battle of Somme, and how did this battle compare and contrast to the Battle of Rostov?","What was the significance of the battle of Somme, and how did this battle compare and contrast to the Battle of Riyadh?",1
188,377,378,Is it possible to pursue many different things in life?,How do I refuse to chose between different things to do in my life?,1
189,379,380,Did Ben Affleck shine more than Christian Bale as Batman?,"No fanboys please, but who was the true batman, Christian Bale or Ben Affleck?",1
190,381,382,Which business is good start up in Hyderabad?,Which business is better to start in Hyderabad?,1
191,383,384,How can I stop being so possessive?,How do I stop being over possessive for a person whom I love?,1
193,387,388,What is the best combination of courses I can take up along with CA to enhance my career?,What courses must be taken along with CA course?,1
194,389,390,How do you take a screenshot on a Mac laptop?,How do I take a screenshot on my MacBook Pro? What are some instructions?,1
197,395,396,What are some must watch TV shows before you die?,Are there any must watch TV shows?,1
198,397,398,How can I become more fluent in Chinese?,How can I become fluent in chinese?,1
199,399,400,What are the effects of demonitization of 500 and 1000 rupees notes on real estate sector?,What will be the impact of scrapping of ₹500 and ₹1000 rupee notes on the real estate market?,1
200,401,402,What is the easiest way to become a billionaire($)?,What is the best way to become a billionaire?,1
203,407,408,Why do people hate Hillary Clinton?,What are the reasons that people dislike Hillary Clinton?,1
209,419,420,Why is creativity important?,Why creativity is important?,1
210,421,422,If Hillary Clinton could not continue her Presidential campaign how would the Democratic Party choose a new candidate?,If Hillary Clinton can no longer serve as the Democratic nominee how would her successor be chosen?,1
215,431,432,Is the neutron star made up of?,Is the neutron star made up of only neutrons?,1
216,433,434,I got a 3.8 GPA. Is it enough to get into top universities like Harvard?,Is a 3.8 GPA sufficient to get into a top school?,1
219,439,440,How can I learn computer security?,How can I get started to learn information security?,1
220,441,442,How do I earn from Quora?,Can I earn money on Quora?,1
221,443,444,What is my puk code?,What's the PUK for TF64SIMC4?,1
224,449,450,Will there be another billion dollar lottery Jackpot?,When will the lottery reach the next billion dollar jackpot?,1
226,453,454,How do I create a new shell in a new terminal using C programming (Linux terminal)?,How do I create a new Terminal and new shell in Linux using C programming?,1
229,459,460,How can we make the world a better place to live in for the future generations?,What can I do to make the world a better place?,1
235,471,472,Why are we worried about others' opinions?,Why do we care for others' opinion and about what others think about us?,1
236,473,474,How do you potty train a 4 months Pitbull?,How do I potty train my two-month-old Labrador pup?,1
238,477,478,Which online test series is best for GATE 2017 in CS stream?,Which test series is the best for GATE computer science stream?,1
242,485,486,"In the play ""A Raisin in the Sun"", why do Walter ad Beneatha argue?","In ""A Raisin in the Sun"", why do Walter and Beneatha argue?",1
243,487,488,What are the signs of an ultra smart person playing dumb?,What are signs of ultra smart people hiding their intelligence?,1
244,489,490,If dark energy is created with expansion can infinite of it be created?,"If energy is not conserved in an expanding universe, is potential energy infinite (the energy that can be created is infinite)?",1
246,493,494,Who is disrupting Bloomberg?,Who will disrupt Bloomberg?,1
249,499,500,How will the implementation of GST bill impact the lives of common people?,What exactly is GST bill and how exactly will it affect the common people?,1
250,501,502,How can you recover your Gmail password?,"I do not remember my password to my Gmail account, how can I recover my account?",1
251,503,504,How accurately can a mental illness can be diagnosed?,How can I accurately diagnose and medicate my mental illness?,1
253,507,508,What are the qualities of a good leader?,What are some good qualities of a leader?,1
255,511,512,Will Modi win in 2019?,Can Narendra Modi become Prime Minister of India in 2019?,1
260,521,522,"What exactly is the ""Common Core Initiative/Standards"" and what are the pros and cons?",What are the pros and cons of the Common Core Standards Initiative?,1
261,523,524,How do I choose a journal to publish my paper?,Where do I publish my paper?,1
262,525,526,What are your New Year's resolutions for 2017?,What is your creative New Year's resolution for 2017?,1
267,535,536,How many months does it take to gain knowledge in developing Android apps from scratch?,How much time does it take to learn Android app development from scratch?,1
269,539,540,What are the rights of a prisoner?,"If I am in prison, what rights would I have?",1
270,541,542,How can I get free gems in Clash of Clans?,How can I get free gems Clash of Clans?,1
273,547,548,What is the best way to get traffic on your website?,How do i get traffic for website?,1
274,549,550,How do you feel when someone upvotes your answer on Quora?,How does it feel to see upvotes to your answer on Quora?,1
275,551,552,What are some of the best films and TV shows that feature strong female protagonists?,What are the best female strong characters in films?,1
281,563,564,How long does it take for a dead body to float to the surface after drowning ?,"When a dead body is in a river, how long does it take before it floats?",1
284,569,570,How can I make money online with free of cost?,How do I to make money online?,1
285,571,572,Where can I buy best quality customized cupcakes in Gold Coast?,Where can I find delicious cupcakes at Gold Coast?,1
286,573,574,How successful was odd even plan?,How successful was the Delhi's Odd-even plan?,1
287,575,576,If there will be a war between India and Pakistan who will win?,Who will win if a war starts between India and Pakistan?,1
288,577,578,How do you deal with a fear of dying?,How can you reduce your fear of dying?,1
291,583,584,"Is there an end to the universe, and if not, is the universe infinite?",Is the Universe infinite or is there an end to the Universe?,1
293,587,588,How much funds should I raise?,How much money should I raise?,1
295,591,592,What will be the effect of banning 500 and 1000 notes on stock markets in India?,What will be the effect of the ban of the 1000rs and 500rs notes on the stock market?,1
296,593,594,How does concentric contractions differ from eccentric contractions?,How do concentric and eccentric contraction compare and contrast?,1
299,599,600,What the meaning of this all life?,What's are the meaning of life?,1
304,609,610,Which are the best Hollywood thriller movies?,What are the best thriller movie in Hollywood?,1
307,615,616,What job possibilities exist for a Bachelors in Homeland Security?,What jobs are available with a bachelor’s degree in Homeland Security?,1
308,617,618,Which are the best books to understand calculus?,What are good books to self study calculus?,1
309,619,620,Why and how did you break up with her/him?,How and why did you break up with your ex?,1
312,625,626,What is the best answer to what you did in two years gap in a job interview?,What is the best excuse to explain a gap (of one or two years) in your job career for a job interview?,1
317,635,636,What do countries do to prevent war?,How should countries prevent war?,1
318,637,638,How can I become a billionaire?,How can I become a billionaire (in finance)?,1
321,643,644,How will Indian GDP be affected from banning 500 and 1000 rupees notes?,What will be the implications of banning 500 and 1000 rupees currency notes on Indian economy?,1
322,645,646,Why does understanding death philosophical?,What makes understanding death philosophical?,1
323,647,648,Why are dogs considered omnivores?,Are dogs carnivorous animals?,1
326,653,654,What are the most interesting foods you have eaten in any country?,What is the most delicious dish you've ever eaten and why?,1
329,659,660,How can one increase concentration?,How can I improve my concentration?,1
331,663,664,What are the pros and cons of the German Shepherd dog?,What are the pros and cons of having a pet German Shepherd?,1
339,679,680,What would be the best way to quit smoking?,How did you quit/stop smoking?,1
341,683,684,Earthquake resistant homes?,How do earthquake resistant buildings work?,1
346,693,694,What is the best phone to buy below 15k?,Which are best mobile phones to buy under 15000?,1
347,695,696,How do we start a business?,How do I start business from nothing?,1
348,697,698,What's the best near-death experience you've ever had?,Has anyone ever had a near-death experience?,1
349,699,700,Why do I keep getting fleas from my dogs?,How can I keep my dog from getting fleas?,1
350,701,702,What year did the letter J come?,When was the Letter J created?,1
353,707,708,What are the most important books ever written?,What is the most important book you have ever read?,1
364,729,730,How can I become a good speaker?,What should I do to be a good Speaker?,1
365,731,732,How can I write a letter to Mr. Narendra Modi?,How can I write to Narendra Modi?,1
368,737,738,What do you think about the Bermuda Triangle?,What are your theories about Bermuda Triangle?,1
373,747,748,What should someone do to overcome anxiety?,What should I do to avoid depression and anxiety?,1
377,755,756,How do I maintain my peace of mind?,How can I maintain my peace of mind?,1
380,761,762,Which one is better among KMC Manipal and KMC Mangalore?,What is the brief comparison of KMC in Manipal and Mangalore?,1
383,767,768,How do I keep motivation to learn a language?,How do you keep motivated when you learn a new language?,1
390,781,782,What is the different between Chinese wedding ceremony and western wedding ceremony?,What is the difference between Chinese and Western style wedding?,1
393,787,788,Why should one hate Shahrukh Khan?,Why do people hate Shahrukh Khan and why do people feel that he is not an Indian?,1
394,789,790,What are the best self-help books you've ever read?,What are the top self help books I should read?,1
395,791,792,Is Evernote useful?,What is Evernote used for?,1
397,795,796,What is a good song to lyric prank your best friend?,What are some good lyric prank songs to send your best friends?,1
399,799,800,How do I pass a drug test for methamphetamine?,Can hair dye help pass a hair follicle drug test for daily meth smokers?,1
400,801,802,How could start with open source development?,How should I start contributing to open source projects?,1
402,805,806,Do cricket players really drink tea on a tea break?,Do cricketers actually drink tea during tea break?,1
403,807,808,How can I get entry in MIT?,What are the requirements for selection into MIT?,1
404,809,810,Does a fetus breathe when it's inside a womb?,How does a fetus exhale in the womb?,1
405,811,812,What are movies with incest scenes?,Are there any good incest movie?,1
409,819,820,Do you regret your divorce?,Have you ever regretted your divorce?,1
410,821,822,"How much does your DNA change over time? If I were to clone myself 70 years from now, will the clone have the same hair color?",How much can a person's DNA change from birth to death in a life span of approximately 70 years?,1
412,825,826,"Is Donald Trump taking cocaine, as Howard Dean suggests?",Are there any strong indications that Donald Trump does cocaine?,1
415,831,832,How can I see the Comedy Nights with Kapil live show?,What is the way to watch Comedy Nights with Kapil live on the sets?,1
421,843,844,What's your bucket list?,What is your bucket list?,1
422,845,846,How did you first come across porn?,How were you first introduced to porn?,1
428,857,858,What can I eat every day to be more healthy?,Is it healthy to eat a whole avocado every day?,1
430,861,862,What would Hillary Clinton do now that the election is over?,What will Hillary Clinton do now?,1
431,863,864,Should I use Vicks Vapor Rub for a stuffy nose?,How do you apply Vicks Vapor rub to treat a stuffy nose?,1
432,865,866,How I start prepare for UGC net English literature latest syllabus?,How do I prepare for Net JRF in English literature?,1
439,879,880,What are your views on Modi governments decision to demonetize 500 and 1000 rupee notes? How will this affect economy?,What are your views on ban of 500 and 1000 rupee notes in India?,1
442,885,886,Why is Saltwater Taffy candy imported in Greece?,Why is Saltwater taffy candy imported in China?,1
443,887,888,What are the minimum requirements to enter MIT?,How can I join MIT?,1
445,891,892,Israel vs Iran: who would win?,"If Israel and Iran went to war, who would win?",1
446,893,894,When is it too late to learn the piano?,I'm almost 40. Is it too late for me to learn piano?,1
450,901,902,How we can travel faster than light?,Is it possible to travel faster than light?,1
451,903,904,What is it like being a firefighter?,What's it like to be a firefighter?,1
457,915,916,What are the life lessons that Batman teaches us?,What are the life lessons you can learn from the dark knight?,1
458,917,918,How do you stop a criminal's attempt to kidnap you so you escape unharmed?,How do you stop a criminal's attempt to kidnap you and escape unharmed?,1
459,919,920,How do I sell on Amazon?,How do I start selling on Amazon?,1
460,921,922,Daniel Ek: When an we expect Spotify in India?,Daniel Ek: Are there any future plans of releasing Spotify in India?,1
461,923,924,What are the top 10 books one should read in his or her early 20s?,What books are worth reading in early 20s?,1
462,925,926,Which book should I start with for the GATE preparation?,What book do I start with for GATE preparation?,1
464,929,930,What is similar to 4Shared?,What is similar to 4shared but better?,1
468,937,938,What are some good places to learn mountaineering in India?,What are some good mountaineering institutes for a beginner level mountaineering course?,1
476,953,954,Can climate change be reversed?,Can the global climate change be reversed or halted?,1
479,959,960,Did Mahabharata really happen?,Did Mahabharata really happen or only an allegory according to M.K.Gandhi?,1
483,967,968,Why are police lights red and blue?,Why are police lights red and/or blue?,1
484,969,970,How do I post a question that was marked as needing improvement?,"Why was my question marked as ""needs improvement?""",1
488,977,978,How do I prepare for software interviews?,What are the best ways to prepare for software interviews?,1
489,979,980,Does Rahul Gandhi have any chance to become next PM of India after Modi?,Does Rahul Gandhi have chances to become next Pm of India after Modi?,1
491,983,984,What is the difference between a comet and an asteroid?,What is the difference between asteroids and comets?,1
493,987,988,How should I study,What are some tricks to study effectively?,1
501,1003,1004,"What makes a programmer ""good?""",What makes a good programmer great?,1
503,1007,1008,Is civil war likely after the US presidential election?,Is the US at risk of some type of uprising after the election?,1
505,1011,1012,Where and how do the crop circles get generated?,What are crop circles?,1
506,1013,1014,Will baking soda help pass a urine test?,How does baking soda help you pass a drug test?,1
507,1015,1016,What is Zika virus and how is it transmitted?,How is Zika virus spread?,1
508,1017,1018,What is the best way to learn algebra by yourself?,How do you learn algebra 1 fast?,1
513,1027,1028,What is the best place for sex?,What is the best place to have sex from?,1
515,1031,1032,"How do you feel about the new MacBook Pro, late 2016?",Should I get the new Macbook Pro?,1
517,1035,1036,What are the major differences between Chinese culture and western cultures?,What is the difference between Chinese and western culture?,1
518,1037,1038,What are scraping techniques?,What are some good free web scrapers / scraping techniques?,1
520,1041,1042,Is it healthy to eat egg whites every day?,Is it healthy to eat one chicken every day?,1
527,1055,1056,What are the best places to recommend foreigners to visit in Nepal?,What are the best places to visit in Nepal?,1
532,1065,1066,How imminent is world war III?,Are we heading toward World War 3?,1
533,1067,1068,How do you write a song?,How do I write a song?,1
534,1069,1070,What could be Narendra Modi's next move after demonetization?,What is next step after demonetization?,1
535,1071,1072,"If you have me, you want to share me. If you share me, you haven't got me. What am I?","If you have me, you want to share me. If you share me, you don't get me. What am I?",1
536,1073,1074,"What is an interesting fact that you know and I don't, but shouldn't?",What is the most interesting fact that most people don't know about?,1
538,1077,1078,Where do I find 3ds emulator for android?,Is there a working Nintendo 3DS emulator for PC?,1
540,1081,1082,How can I become a true computer science engineer?,How do I become a good computer science engineer?,1
544,1089,1090,What can you do in lucid dreams?,How was your experience of Lucid dreaming?,1
547,1095,1096,How can I hack someones whatsapp account?,How can I hack another WhatsApp account?,1
549,1099,1100,What is the best lesson in life?,What is the most important lesson you have learned from life?,1
551,1103,1104,How will Trump's presidency affect Indian students who are planning to do a PhD in the US?,How would Trump presidency affect Indian students in the US?,1
553,1107,1108,What are the best daily life hacks one can use to make his life easy?,What are the hacks in daily life?,1
555,1111,1112,What is your favourite anime character and why?,What is your favorite anime character? And why?,1
557,1115,1116,How many Mechanical Engineers graduate from India per year?,How many mechanical engineers graduate per year in India?,1
558,1117,1118,How do I start a successful private equity firm?,What do you need to start your own private equity firm?,1
561,1123,1124,What can be the medium budget to visit best places in Kerala for three members (2-3 days)?,What are the best places to visit in Kerala for college students?,1
564,1129,1130,How can I earn money from YouTube?,How do I make money through YouTube?,1
569,1139,1140,If time started because of the big bang happening then how could the big bang start because there was no time for the big bang to start?,How did the Big Bang happen when there wasn't any time for it to happen in?,1
571,1143,1144,How can I start civil service exam preparation from scratch?,When should I start preparing for the civil service exam?,1
573,1147,1148,What is the difference in pleasure between masturbation and sex?,What is the difference between sex and masturbation when it comes to pleasure?,1
577,1155,1156,Do you have any psychic abilities?,Do you have psychic power?,1
580,1161,1162,What is your take on Urjit Patel as the new RBI governor?,Is Urjit Patel is right person for RBI Governor?,1
583,1167,1168,Do Trump voters care that he has reneged all his campaign promises?,How will Trump supporters react once they realize he can't or won't keep his campaign promises?,1
584,1169,1170,"Can I learn while sleeping? If so, how?",How can I efficiently learn while sleeping?,1
586,1173,1174,How do I stop being addicted to porn?,How can I stop watching porn?,1
590,1181,1182,What is the meaning of life? Whats our purpose on Earth?,What do you feel is the purpose of life?,1
592,1185,1186,How is time travel possible?,Do you think time travel is possible?,1
593,1187,1188,How can one get a fuller face?,How do I do to get fuller face?,1
594,1189,1190,Is it too late for me at the age of 25 thinking to start a career in photography?,I want to start my career as a photographer at age of 25. Is it too late?,1
595,1191,1192,What’s the best time to have sex?,When will the best time for having sex?,1
600,1201,1202,Can we create free energy?,How do we make free energy?,1
602,1205,1206,What's the funniest highbrow joke you've ever heard?,What are the funniest jokes / stories you ever heard?,1
607,1215,1216,What are some movies that everyone needs to watch at least once in life?,What movies would you recommend everyone to watch?,1
608,1217,1218,Can World War 3 ever take place?,Is World War 3 more imminent than expected?,1
609,1219,1220,How can eating prunes help during a constipation?,Does eating prunes help with constipation?,1
617,1235,1236,Why is Barack Obama so important for the world?,Why is Barack Obama so important to the world?,1
618,1237,1238,What is the reason Pakistan supports terrorism?,Has Pakistan become a safe haven for global terrorism?,1
619,1239,1240,How do I can stop hairfall?,How can I stop hairfall?,1
620,1241,1242,"In your opinion, what is the best classical song of all time?",What's the best classical music piece of all time?,1
625,1251,1252,Is there any other website similar to Quora?,Are there any website like Quora?,1
626,1253,1254,What are the conditions in European refugee camps?,How are the conditions inside European Refugee Camps?,1
630,1261,1262,How do I develop my presence of mind?,How can I increase my presence of mind?,1
636,1273,1274,What are the good websites to learn C programming for begineer?,How can we learn c programming?,1
637,1275,1276,Will the Supreme Court's decision of playing the National Anthem before movie screenings affect your patriotism?,What are your views on the supreme court's decision to make playing national anthem mandatory in cinema halls?,1
641,1283,1284,Why do people hate twilight saga?,Why do people hate Twilight so much?,1
644,1289,1290,How can I improve my spoken English ability?,How can I improve my English speaking .?,1
647,1295,1296,How do I make money with YouTube?,How do I make money through YouTube?,1
648,1297,1298,How do I find love in life?,How do I find the love of my life?,1
650,1301,1302,Is there any way to get rid of gynecomastia?,How can I get rid of man boobs?,1
652,1305,1306,Are there any scientific reasons behind Hindu temples?,What is the scientific reason behind visiting temples?,1
654,1309,1310,Where can I get super high quality photos for any photo booth services in Sydney?,Where can I get professional photo booths service in Sydney?,1
656,1313,1314,How can I control on my anger?,How can someone control their anger?,1
658,1317,1318,How do I get off Quora?,How do get out of Quora?,1
660,1321,1322,What are the best available smartphones gadgets?,What are some of the best smartphones technology gadgets?,1
661,1323,1324,How does it feel to be a closeted gay in India?,How does it feel to be homosexual in India?,1
663,1327,1328,What happens if dictatorship is continuing in the present days?,What happens if a dictatorship continues in the present day?,1
664,1329,1330,What makes a great cup of coffee great?,What makes a perfect cup of coffee?,1
665,1331,1332,Is the US election rigged?,Was the US election rigged?,1
675,1351,1352,What's your opinion about the decision on removal of 500 and 1000 rupees currency notes?,What is the use of demonetizing Rs. 500 & Rs. 1000 notes?,1
676,1353,1354,What are some of the most mind-blowing facts about Bengaluru?,What are some interesting facts about Bengaluru?,1
678,1357,1358,Which book is best for Neet chemistry?,Which is the best book for chemistry for NEET?,1
680,1361,1362,Why are so many questions posted to Quora that are so easily answered by using Google?,Why do many Quora users ask questions they could look up online?,1
688,1377,1378,Which are the best movies of 2016?,What is your best 2016 movie?,1
689,1379,1380,What would be effect of 500 and 1000 Rs notes ban?,"Why Central Govt banned old 500 and 1000 Rs note, but issued new 500 and 2000 Rs note?",1
696,1393,1394,How light bend with gravity?,"If gravity bends light, can light bend gravity?",1
699,1399,1400,How do you send a private message to someone you're following on Quora?,How do I send another person a message on Quora?,1
700,1401,1402,How do you train a white Pitbull with brown spots?,How do I train White Pitbulls?,1
702,1405,1406,What are some of the most surreal questions asked on Quora?,What is the most surreal question on Quora?,1
704,1409,1410,When will the best time for having sex?,What would be the best time to have sex?,1
705,1411,1412,How can I consult a good free online astrologer?,Are there any good free online astrologers?,1
707,1415,1416,Why do brothers hate sisters?,Why do we hate our sisters?,1
713,1427,1428,Is Textile Engineering Good?,Is textile engineering good or not?,1
721,1443,1444,How does Quora quickly mark questions as needing improvement?,Why does Quora mark my questions as needing improvement/clarification before I have time to give it details? Literally within seconds…,1
722,1445,1446,How will I contact a good hacker?,How can I hire a hacker?,1
726,1453,1454,What is the meaning and purpose to life?,What is the exact meaning of life?,1
727,1455,1456,What should I do when my friends betray me?,What can I do when my friend betrayed me?,1
728,1457,1458,I'm 15 year old my height is 5 feet 7 inches and my weight is 50 kg what should I do to gain weight?,"I am 22, my weight is 46 kg and my height is 5.4 ft. What should I do to gain height and weight?",1
729,1459,1460,Why is Saltwater taffy candy imported in China?,Why is Saltwater taffy candy imported in Laos?,1
734,1469,1470,Who are the best hackers in India?,Who is best Indian hacker?,1
735,1471,1472,Should the Indian education system be changed?,Do we need to change the  education system of India? If yes then why?,1
739,1479,1480,Is it too late to go to medical school and become a doctor?,Is it too late to go to medical school at 24?,1
742,1485,1486,"What government exams, other than the GATE, can final year computer science students give?","What government exams, other than the GATE can average mark final year computer science students give?",1
746,1493,1494,Psychopaths: Do you find babies cute?,Do psychopaths find babies cute?,1
750,1501,1502,How can I see who blocked me at Facebook?,Will I see if someone blocked me of Facebook?,1
752,1505,1506,Who are some of great coders from Tamil Nadu?,Are there any competitive coders from Tamil Nadu?,1
755,1511,1512,What is the ultimate way to serve humanity?,How can one serve humanity?,1
760,1521,1522,What will be the resolution one should have for the year 2016?,What's your resolution for year 2016?,1
761,1523,1524,What are Balaji Viswanathan's views on caste based reservations in India?,What is Balaji Vishwanathan's view on caste based reservation system in India?,1
766,1533,1534,What are Mutual funds? How do they work?,What is mutual fund all about?,1
772,1545,1546,What is the main difference between socialism and communism.?,"What is the difference between socialism, marxism, and communism?",1
773,1547,1548,How do I change my Facebook password?,How can I log in Facebook without password?,1
779,1559,1560,"Which one to learn, C++ or C#?",Which should I learn first: C++ or C#?,1
781,1563,1564,What is the best evidence for a historical Jesus?,What is the evidence for and against the existence of the historical Jesus?,1
784,1569,1570,What are some of the best part-time jobs where you can work from home and make some good cash?,What are some of the best paid part time jobs that can be done from home?,1
785,1571,1572,Does Trump have a chance at winning presidency?,Is there a big chance that Trump will win the election?,1
787,1575,1576,How can I meet Suresh Raina?,How do i meet suresh raina?,1
790,1581,1582,"Can fossil records be used as evidence for evolution? If so, how?",What are some examples of evidence of evolution that fossil records provide?,1
791,1583,1584,What is the Hizmet movement?,What is the Gülen movement?,1
796,1593,1594,What stocks are the best to invest in right now?,What are the best stocks to invest for long term right now?,1
798,1597,1598,What should I do if someone has posted a porn video under my name?,What should I do if someone has posted porn video under my name?,1
800,1601,1602,What are the safety precautions on handling shotguns proposed by the NRA in Alaska?,What are the safety precautions on handling shotguns proposed by the NRA in Arizona?,1
803,1607,1608,How do I get my ex back?,How do I ask my ex to get back together?,1
805,1611,1612,What is the best way to prepare to IELTS?,What is the best way to prepare for IELTS?,1
806,1613,1614,How do I know if the girl am dating online truly live me for real?,How do I know if my online girlfriend truly loves me?,1
812,1625,1626,What is a GDP?,What is the significance of GDP?,1
815,1631,1632,What are the home remedies for piles or anal fissure?,How do I cure anal fissure permanently with home remedies?,1
817,1635,1636,Is the soul immortal?,Why is the soul immortal?,1
819,1639,1640,What can be done to reduce the pollution of India?,What is the best way to reduce pollution in india?,1
825,1651,1652,Which were some of the bad experiences you had in life?,What were some of your good and bad life experiences?,1
827,1655,1656,Can you get a list of individual telephone numbers?,How do you get cell phone numbers?,1
828,1657,1658,Do you have to wake up during REM sleep to remember your dreams?,Do you need to wake up in the middle of REM sleep in order to remember you dreams?,1
830,1661,1662,How do I learn how to sing?,I want to learn singing. How do I start?,1
834,1669,1670,Which is the best SSC and banking training insititute in Chandigarh?,Which institute provide best SSC and banking coaching in Chandigarh?,1
835,1671,1672,Which is the best PMP Certification course provider in Bangalore?,Which is the best pmp certification center in Bangalore?,1
